row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_HUE_masked_min,NDVI_HUE_masked_max,NDVI_HUE_masked_mean,NDVI_HUE_masked_count,Year,Location,Pedigree,Rep,Block,MOplot
21,1,2021_MOH2_ALL,21,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,21,"POLYGON ((556109.1468153985 4309086.876150137, 556108.6155095905 4309080.803347693, 556107.0973102027 4309080.936174269, 556107.6286160116 4309087.008976714, 556109.1468153985 4309086.876150137))",0.4334172308444977,0.8934558033943176,0.745354448247509,6423,2021,MOH2,Fill/HB,-1,-1,21
22,1,2021_MOH2_ALL,22,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,22,"POLYGON ((556107.6286160116 4309087.008976714, 556107.0973102027 4309080.936174269, 556105.5791108136 4309081.069000847, 556106.1104166224 4309087.141803292, 556107.6286160116 4309087.008976714))",0.4021710753440857,0.9115571975708008,0.7631569638137962,7426,2021,MOH2,Fill/HB,-1,-1,22
23,1,2021_MOH2_ALL,23,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,23,"POLYGON ((556106.0768471152 4309087.14474024, 556105.5455412809 4309081.071937796, 556104.0273418941 4309081.20476438, 556104.5586477282 4309087.277566823, 556106.0768471152 4309087.14474024))",0.4286705553531647,0.905135452747345,0.7522150842593394,5782,2021,MOH2,W10004_0950/PHK76,1,3,23
24,1,2021_MOH2_ALL,24,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,24,"POLYGON ((556104.5250782223 4309087.280503764, 556103.9937723627 4309081.2077013245, 556102.475572977 4309081.340527914, 556103.0068788351 4309087.413330355, 556104.5250782223 4309087.280503764))",0.439371258020401,0.9115115404129028,0.7627703841650517,6192,2021,MOH2,F42/MO17,1,-1,501
25,1,2021_MOH2_ALL,25,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,25,"POLYGON ((556102.7928380909 4309087.208091698, 556102.2615320495 4309081.135289276, 556100.7433326286 4309081.268115907, 556101.2746386697 4309087.34091833, 556102.7928380909 4309087.208091698))",0.40958061814308167,0.8978128433227539,0.745120166736914,6228,2021,MOH2,Fill/HB,-1,-1,502
26,1,2021_MOH2_ALL,26,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,26,"POLYGON ((556101.358562435 4309087.333575943, 556100.8272564576 4309081.260773513, 556099.3090570344 4309081.39360013, 556099.8403630117 4309087.466402559, 556101.358562435 4309087.333575943))",0.2418227344751358,0.898747444152832,0.7372458799041971,5343,2021,MOH2,Fill/HB,-1,-1,503
27,1,2021_MOH2_ALL,27,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,27,"POLYGON ((556099.7564392409 4309087.473744928, 556099.2251331989 4309081.400942504, 556097.7069337787 4309081.533769138, 556098.2382398194 4309087.606571559, 556099.7564392409 4309087.473744928))",0.38316693902015686,0.8923884034156799,0.7486684190683646,3730,2021,MOH2,B14A/OH43,1,-1,504
28,1,2021_MOH2_ALL,28,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,28,"POLYGON ((556098.2382398173 4309087.606571544, 556097.7069337766 4309081.533769122, 556096.1887343551 4309081.666595754, 556096.7200403957 4309087.739398176, 556098.2382398173 4309087.606571544))",0.3727031648159027,0.8820137977600098,0.743191371963666,4899,2021,MOH2,B14A/H95,1,-1,505
28,2,2021_MOH2_ALL,29,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,29,"POLYGON ((556097.6886806237 4309081.518452827, 556097.1573745668 4309075.445650405, 556095.6391751453 4309075.578477041, 556096.1704811996 4309081.651279463, 556097.6886806237 4309081.518452827))",0.29555514454841614,0.9045926332473755,0.7640100160149584,4688,2021,MOH2,B73/PHN82,1,-1,506
27,2,2021_MOH2_ALL,30,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,30,"POLYGON ((556099.2513604109 4309081.314081752, 556098.7200543819 4309075.241279327, 556097.2018549436 4309075.374105955, 556097.7331609736 4309081.44690838, 556099.2513604109 4309081.314081752))",0.38806629180908203,0.9036691784858704,0.740953484859453,5612,2021,MOH2,2369/LH123HT,1,-1,507
26,2,2021_MOH2_ALL,31,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,31,"POLYGON ((556100.760117446 4309081.26664741, 556100.2288114179 4309075.193844986, 556098.7106119953 4309075.326671614, 556099.2419180241 4309081.399474039, 556100.760117446 4309081.26664741))",0.3283785581588745,0.8951212763786316,0.729915341198216,2088,2021,MOH2,B37/H95,1,-1,508
