"","PlotID","Python_Height","X","LAI","Pedigree","Exp_row","Exp_range"
"239",239,1.1602638244629,239,0.215299470324596,"W10004_0268/PHK76",9,11
"240",240,1.04800415039062,240,0.204277711763707,"W10004_0071/PHK76",10,11
"241",241,1.00297546386719,241,0.136639847913908,"W10004_0064/PHK76",11,11
"242",242,0.976882934570312,242,0.160402023700384,"W10004_0771/PHK76",12,11
"243",243,0.722841033935538,243,0.0352062468171787,"F42/MO17",13,11
"244",244,1.04060623168945,244,0.156781531149211,"W10004_0818/PHK76",14,11
"245",245,0.886245727539062,245,0.0827815693864385,"W10004_0059/PHK76",16,11
"246",246,1.14207458496094,246,0.252817762085823,"B14A/MO17",17,11
"247",247,1.04202606201173,247,0.180953997623493,"CG119/CG108",18,11
"248",248,1.12776184082031,248,0.105021900784354,"W10004_0836/PHK76",19,11
"249",249,0.874679565429688,249,0.0911282382100295,"W10004_0476/PHK76",20,11
"250",250,0.783584594726562,250,0.0283851690886867,"B37/H95",21,11
"251",251,0.80084228515625,251,0.0937022576812086,"W10004_0802/PHK76",22,11
"252",252,0.495181274414051,252,0.0318101575230853,"W10004_0099/PHK76",23,11
"253",253,0.246719665527337,253,0.00383623030961434,"TX779/LH195",23,12
"254",254,0.705108642578125,254,0.0782576220547294,"W10004_1099/PHK76",22,12
"255",255,0.425500488281244,255,0.0188429415359544,"CG44/CGR01",21,12
"256",256,0.8070068359375,256,0.0674679976910801,"W10004_0847/PHK76",20,12
"257",257,1.02215576171875,257,0.10836869801392,"W10004_0914/PHK76",19,12
"258",258,0.85125732421875,258,0.0379927341866703,"W10004_0834/PHK76",18,12
"259",259,1.02914688110351,259,0.150414233328806,"W10004_0412/PHK76",17,12
"260",260,0.1285400390625,260,0.0116109319300628,"W10004_0935/PHK76",16,12
"261",261,0.275025634765626,261,0.0155491427601426,"W10004_0018/PHK76",15,12
"262",262,0.804566650390626,262,0.132511713179874,"W10004_0723/PHK76",13,12
"263",263,0.305343627929688,263,0.0171125899769116,"W10004_1156/PHK76",12,12
"264",264,0.237656402587902,264,0.00909862502121881,"W10004_0885/PHK76",11,12
"265",265,0.59991455078125,265,0.0686540812168953,"W10004_0697/PHK76",10,12
"266",266,1.05844116210938,266,0.183487795770106,"W10004_0121/PHK76",9,12
"267",267,1.34682037353517,267,0.266279622462144,"W10004_0166/PHK76",8,12
"268",268,1.27926635742188,268,0.263920956132011,"W10004_0658/PHK76",7,12
"269",269,1.11651611328125,269,0.221116958071635,"W10004_0200/PHK76",6,12
