"","PlotID","Python_Height","X","LAI","BI","GLI","NGRDI","VARI","BGI","NDVI","myIndex.1","myIndex.2","myIndex.3","myIndex.4","myIndex.5","myIndex.6","myIndex.7","myIndex.8","myIndex.9","myIndex.10","myIndex.11","myIndex.12","myIndex.13","myIndex.14","myIndex.15","myIndex.16","Pedigree","Exp_row","Exp_range"
"24",24,0.688888549804688,24,0.114611624117328,16332.8469811422,-0.973423440891444,-0.972112939720302,-Inf,81.9336201034192,0.21708853830242,-0.999617290135271,-39432.1251175917,-0.974569022090451,-0.973423440891444,-65845.7979052995,-0.972112939720302,-0.999579289032483,-0.999807894656136,-0.979927599612863,0.473503970949425,0.656214759200149,0.51980522892153,0.0128878200059167,-18794.0519912198,0.0466127910951923,0.0135761940640643,"W10004_0080/PHK76",23,2
"25",25,0.693634033203125,25,0.0628841125937999,20907.3266755633,-0.978491340298799,-0.977213610911282,-Inf,105.170347885138,0.168648191289212,-0.99974301625624,-50612.1396018998,-0.979595239847772,-0.978491340298799,-84382.3208495651,-0.977213610911282,-0.9997111358766,-0.999871004238426,-0.983774317764596,0.470926475240137,0.653888504591057,0.523664964014729,0.0103158094300596,-24048.7008911895,0.0530395806878938,0.0109978585283112,"W10004_1112/PHK76",22,2
"26",26,0.686691284179688,26,0.0501442878967917,23336.0491082956,-0.98006014015931,-0.978506559483532,-Inf,118.356033258897,0.143244429365175,-0.999773698016167,-56511.6043123824,-0.981356238606664,-0.98006014015931,-93833.7464762915,-0.978506559483532,-0.99973620538735,-0.999886405278704,-0.984962329371522,0.464577989949286,0.645396629052841,0.530409453174554,0.00941841581225391,-26585.8158313637,0.0661902906410837,0.0102564660026291,"W10004_0827/PHK76",21,2
"27",27,0.912847900390631,27,0.22192422596415,22138.3859191966,-0.97851523529527,-0.976232703842171,-Inf,114.173138518246,0.203058565785237,-0.999732262344857,-53497.809645632,-0.980324332717841,-0.97851523529527,-88093.9326985029,-0.976232703842171,-0.999672011286233,-0.999865606196634,-0.983789134944015,0.453454129976712,0.629432160282069,0.54114224833796,0.00994673427479677,-24638.6593234792,0.0882009878308278,0.0111772725486922,"B37/OH43",20,2
"28",28,0.612064819335927,28,0.19765744355797,25921.791494708,-0.981927583449418,-0.980293984115178,9.34740196731955,132.470331310024,0.153687806060002,-0.999809363073442,-62800.8670868216,-0.983264094677357,-0.981927583449418,-103889.172730693,-0.980293984115178,-0.999771973814284,-0.999904307738826,-0.986376062663425,0.460369683140988,0.639976243951858,0.535089004413487,0.00844731862090464,-29275.9326027655,0.0750921862955553,0.00932911692965736,"W10004_0079/PHK76",19,2
"29",29,0.679811248779288,29,0.269989474756392,24671.4450531842,-0.980549498112166,-0.978666425208343,-Inf,126.219888007949,0.189191175168691,-0.999773952225793,-59727.6115663558,-0.982060657303442,-0.980549498112166,-98744.7677404163,-0.978666425208343,-0.999726310566286,-0.999886532881966,-0.985329841217384,0.458454949729422,0.636946876693652,0.536654997343039,0.00906271385579824,-27796.5401243289,0.078625681008798,0.0100758526262795,"W10004_0264/PHK76",18,2
"30",30,0.795456695556652,30,0.246315789473684,23336.9287495019,-0.979211522636399,-0.977342664009543,13.2935954972104,118.76957004689,0.192341516017592,-0.999743537668023,-56493.1024601753,-0.980730711668522,-0.979211522636399,-93641.7093976812,-0.977342664009543,-0.999693735689656,-0.999871265966694,-0.984315232285896,0.460933313441603,0.640078382913543,0.533838430653696,0.00974150900495973,-26461.8620982185,0.073331121877009,0.0107505296782924,"W10004_0062/PHK76",17,2
"31",31,0.785140991210938,31,0.131251060940418,23349.2170045036,-0.979645506001954,-0.978182240323732,-Inf,117.702618444507,0.175983512185801,-0.999757370236996,-56566.2879904306,-0.980869933691676,-0.979645506001954,-94198.2563923445,-0.978182240323732,-0.999719684633302,-0.999878209373865,-0.984645458734126,0.467673699528197,0.649624998917518,0.527208120049845,0.00966944835147006,-26807.1202870813,0.0598732157991174,0.0104540799691563,"W10004_0199/PHK76",16,2
"32",32,0.8565673828125,32,0.136750976065184,19075.4753668284,-0.976094419384269,-0.974484239441433,-Inf,96.4797672493339,0.219974830266309,-0.999678776964306,-46102.7932722769,-0.977446901477756,-0.976094419384269,-76662.4269454524,-0.974484239441433,-0.999634176112175,-0.999838758633064,-0.981953500149988,0.467246379486807,0.648129431331526,0.526738120563189,0.0114166116711062,-21755.4526236968,0.05986580005364,0.0122781398015346,"W10004_0632/PHK76",15,2
"33",33,1.04466247558594,33,0.178126379409867,16595.2654773496,-0.973284332943943,-0.971704731600674,-Inf,83.5498300613349,0.245786558659525,-0.99960561980585,-40050.854679803,-0.974608488813628,-0.973284332943943,-66753.7618996305,-0.971704731600674,-0.99955767525315,-0.999802036608427,-0.979819380800042,0.470237342340767,0.651605406210421,0.52303578459258,0.0128703987688603,-19000.6480141626,0.0531652680535514,0.013701501300709,"W10004_0649/PHK76",14,2
"34",34,0.86798095703125,34,0.138928498675901,15395.7796717941,-0.971613478140422,-0.970103419744146,-Inf,77.3931352786114,0.220187549319711,-0.99955859351335,-37132.9259575128,-0.972915419631987,-0.971613478140422,-61948.6730035664,-0.970103419744146,-0.99951068428522,-0.99977843125376,-0.978549066733474,0.471859345665751,0.653452772843209,0.520990343245407,0.0137394162652216,-17652.6764614669,0.0494878774780091,0.0145385071386258,"W10004_0949/PHK76",13,2
"35",35,0.996383666992188,35,0.190867424885418,15302.5044725712,-0.971375347188744,-0.969633295317536,-Inf,77.2915224209342,0.2215110379252,-0.999551341715273,-36882.8541224857,-0.972838030020194,-0.971375347188744,-61384.7763896922,-0.969633295317536,-0.99949595753606,-0.99977479113551,-0.978368022374791,0.468713030994366,0.64898758418371,0.524076309797231,0.0137790916579019,-17428.5159051475,0.0557686599689071,0.0147031831280399,"F42/H95",12,2
"36",36,1.13229370117188,36,0.370790331341662,15898.275826696,-0.971293266415924,-0.969055926637447,-Inf,80.9290420263669,0.282986974761701,-0.999536994266989,-38314.7664782423,-0.973138387566548,-0.971293266415924,-63522.7715443686,-0.969055926637447,-0.999462992065226,-0.999767589279116,-0.978301729953673,0.462211159623434,0.639862866790699,0.530556083694457,0.0136287822579227,-17932.8607615188,0.068861310890752,0.0148416094947689,"W10004_0041/PHK76",11,2
