,Pedigree,QGIS_rows,QGIS_range,PlotID,Date,Phenotype,Value,date,doy,gdd
103,LH195 X TX779,12,12_14,409,2020-06-15,NDVI,0.387563287272192,200615,167,198.91
104,W10004_0026 X PHK76,11,11_14,410,2020-06-15,NDVI,0.372419673879572,200615,167,198.91
105,W10004_0756 X PHK76,10,10_14,411,2020-06-15,NDVI,0.389497425557722,200615,167,198.91
106,W10004_0774 X PHK76,9,9_14,412,2020-06-15,NDVI,0.378423946977448,200615,167,198.91
107,W10004_0190 X PHK76,8,8_14,413,2020-06-15,NDVI,0.362165941494673,200615,167,198.91
108,W10004_0818 X PHK76,7,7_14,414,2020-06-15,NDVI,0.386406090704066,200615,167,198.91
109,W10004_0011 X PHK76,6,6_14,415,2020-06-15,NDVI,0.39940926763635,200615,167,198.91
110,F42 X MO17,5,5_14,416,2020-06-15,NDVI,0.372239031475897,200615,167,198.91
111,W10004_0746 X PHK76,4,4_14,417,2020-06-15,NDVI,0.346838990691481,200615,167,198.91
112,W10004_0776 X PHK76,3,3_14,418,2020-06-15,NDVI,0.36657890284616,200615,167,198.91
113,W10004_0261 X PHK76,2,2_14,419,2020-06-15,NDVI,0.394912372085466,200615,167,198.91
114,W10004_0306 X PHK76,21,21_14,400,2020-06-15,NDVI,0.371333058865119,200615,167,198.91
115,PHW52 X PHM49,22,22_14,399,2020-06-15,NDVI,0.351063474061574,200615,167,198.91
116,W10004_0601 X PHK76,23,23_14,398,2020-06-15,NDVI,0.387845759716438,200615,167,198.91
117,W10004_0877 X PHK76,24,24_14,397,2020-06-15,NDVI,0.394745760971919,200615,167,198.91
118,B73 X TX779,14,14_13,374,2020-06-15,NDVI,0.373830673971647,200615,167,198.91
119,W10004_1099 X PHK76,13,13_13,373,2020-06-15,NDVI,0.361603185307338,200615,167,198.91
120,W10004_0166 X PHK76,12,12_13,372,2020-06-15,NDVI,0.374458265990455,200615,167,198.91
121,W10004_0064 X PHK76,11,11_13,371,2020-06-15,NDVI,0.366560939325113,200615,167,198.91
122,W10004_0098 X PHK76,10,10_13,370,2020-06-15,NDVI,0.382789499387379,200615,167,198.91
123,W10004_0389 X PHK76,9,9_13,369,2020-06-15,NDVI,0.36446676821293,200615,167,198.91
124,W10004_0637 X PHK76,8,8_13,368,2020-06-15,NDVI,0.357648415541506,200615,167,198.91
125,W10004_0826 X PHK76,7,7_13,367,2020-06-15,NDVI,0.358765666229993,200615,167,198.91
126,W10004_0076 X PHK76,6,6_13,366,2020-06-15,NDVI,0.365380465457957,200615,167,198.91
127,W10004_1000 X PHK76,1,1_14,420,2020-06-15,NDVI,0.422212345930254,200615,167,198.91
128,W10004_0129 X PHK76,5,5_13,365,2020-06-15,NDVI,0.360574674869111,200615,167,198.91
129,W10004_0262 X PHK76,3,3_13,363,2020-06-15,NDVI,0.360416311947659,200615,167,198.91
130,W10004_0712 X PHK76,2,2_13,362,2020-06-15,NDVI,0.38085362562242,200615,167,198.91
131,W10004_0650 X PHK76,1,1_13,361,2020-06-15,NDVI,0.405528302131497,200615,167,198.91
132,W10004_0970 X PHK76,30,30_14,391,2020-06-15,NDVI,0.398090904520981,200615,167,198.91
133,W10004_0327 X PHK76,29,29_14,392,2020-06-15,NDVI,0.421841650283314,200615,167,198.91
134,W10004_1156 X PHK76,28,28_14,393,2020-06-15,NDVI,0.369634502853789,200615,167,198.91
135,W10004_0799 X PHK76,27,27_14,394,2020-06-15,NDVI,0.383685238535551,200615,167,198.91
136,W10004_0072 X PHK76,26,26_14,395,2020-06-15,NDVI,0.38134741458276,200615,167,198.91
137,W10004_0014 X PHK76,25,25_14,396,2020-06-15,NDVI,0.413579606235131,200615,167,198.91
138,W10004_0152 X PHK76,4,4_13,364,2020-06-15,NDVI,0.346840867841664,200615,167,198.91
139,W10004_0238 X PHK76,13,13_16,468,2020-06-15,NDVI,0.365704810437941,200615,167,198.91
140,W10004_0782 X PHK76,30,30_15,450,2020-06-15,NDVI,0.378731372538293,200615,167,198.91
141,W10004_0807 X PHK76,28,28_15,448,2020-06-15,NDVI,0.380515235427329,200615,167,198.91
142,W10004_0079 X PHK76,3,3_15,423,2020-06-15,NDVI,0.36080390376967,200615,167,198.91
143,W10004_0894 X PHK76,2,2_15,422,2020-06-15,NDVI,0.385878911552658,200615,167,198.91
144,W10004_0866 X PHK76,1,1_15,421,2020-06-15,NDVI,0.426208588433778,200615,167,198.91
145,W10004_0667 X PHK76,30,30_16,451,2020-06-15,NDVI,0.373929926304606,200615,167,198.91
146,W10004_0078 X PHK76,29,29_16,452,2020-06-15,NDVI,0.419445515939898,200615,167,198.91
147,W10004_0713 X PHK76,28,28_16,453,2020-06-15,NDVI,0.378650173783333,200615,167,198.91
148,W10004_0006 X PHK76,27,27_16,454,2020-06-15,NDVI,0.365608074670466,200615,167,198.91
149,W10004_0424 X PHK76,26,26_16,455,2020-06-15,NDVI,0.388777953669968,200615,167,198.91
150,W10004_0626 X PHK76,25,25_16,456,2020-06-15,NDVI,0.411673942416748,200615,167,198.91
151,W10004_0147 X PHK76,24,24_16,457,2020-06-15,NDVI,0.360696349290953,200615,167,198.91
152,W10004_0651 X PHK76,23,23_16,458,2020-06-15,NDVI,0.385109067828513,200615,167,198.91
153,W10004_1081 X PHK76,22,22_16,459,2020-06-15,NDVI,0.364154289672015,200615,167,198.91
154,W10004_0789 X PHK76,21,21_16,460,2020-06-15,NDVI,0.40368983783549,200615,167,198.91
155,W10004_0792 X PHK76,20,20_16,461,2020-06-15,NDVI,0.389310755635877,200615,167,198.91
156,W10004_0602 X PHK76,19,19_16,462,2020-06-15,NDVI,0.377760532499596,200615,167,198.91
157,W10004_0430 X PHK76,18,18_16,463,2020-06-15,NDVI,0.360180660433342,200615,167,198.91
158,W10004_0192 X PHK76,17,17_16,464,2020-06-15,NDVI,0.374413372650319,200615,167,198.91
159,W10004_0256 X PHK76,16,16_16,465,2020-06-15,NDVI,0.405314436361447,200615,167,198.91
160,W10004_0819 X PHK76,15,15_16,466,2020-06-15,NDVI,0.372418590190172,200615,167,198.91
161,W10004_1118 X PHK76,4,4_15,424,2020-06-15,NDVI,0.337584229166457,200615,167,198.91
162,W10004_0189 X PHK76,5,5_15,425,2020-06-15,NDVI,0.372180347029125,200615,167,198.91
163,W10004_0087 X PHK76,6,6_15,426,2020-06-15,NDVI,0.375086287328512,200615,167,198.91
164,W10004_0717 X PHK76,7,7_15,427,2020-06-15,NDVI,0.381441623060999,200615,167,198.91
165,W10004_0837 X PHK76,27,27_15,447,2020-06-15,NDVI,0.381326772513696,200615,167,198.91
166,PB80 X TX779,26,26_15,446,2020-06-15,NDVI,0.380047831233818,200615,167,198.91
167,W10004_0236 X PHK76,25,25_15,445,2020-06-15,NDVI,0.423860475358567,200615,167,198.91
168,W10004_0673 X PHK76,24,24_15,444,2020-06-15,NDVI,0.351331728321831,200615,167,198.91
169,W10004_1004 X PHK76,23,23_15,443,2020-06-15,NDVI,0.373929866432993,200615,167,198.91
170,W10004_0982 X PHK76,22,22_15,442,2020-06-15,NDVI,0.358797125037017,200615,167,198.91
171,W10004_0160 X PHK76,21,21_15,441,2020-06-15,NDVI,0.380388981009962,200615,167,198.91
172,W10004_1123 X PHK76,20,20_15,440,2020-06-15,NDVI,0.420742245949551,200615,167,198.91
173,W10004_0675 X PHK76,19,19_15,439,2020-06-15,NDVI,0.418591171232894,200615,167,198.91
174,W10004_0097 X PHK76,29,29_15,449,2020-06-15,NDVI,0.433834301881434,200615,167,198.91
175,B14A X OH43,18,18_15,438,2020-06-15,NDVI,0.377479943278829,200615,167,198.91
176,W10004_0688 X PHK76,16,16_15,436,2020-06-15,NDVI,0.410229883879767,200615,167,198.91
177,W10004_0417 X PHK76,15,15_15,435,2020-06-15,NDVI,0.393807611149144,200615,167,198.91
178,W10004_0938 X PHK76,14,14_15,434,2020-06-15,NDVI,0.369071603999497,200615,167,198.91
179,W10004_0996 X PHK76,13,13_15,433,2020-06-15,NDVI,0.377693246833162,200615,167,198.91
180,W10004_0956 X PHK76,12,12_15,432,2020-06-15,NDVI,0.379079203196583,200615,167,198.91
181,CG44 X CGR01,11,11_15,431,2020-06-15,NDVI,0.36790027356433,200615,167,198.91
182,W10004_0636 X PHK76,10,10_15,430,2020-06-15,NDVI,0.380578148574463,200615,167,198.91
183,W10004_0616 X PHK76,9,9_15,429,2020-06-15,NDVI,0.392752286564359,200615,167,198.91
184,B37 X H95,8,8_15,428,2020-06-15,NDVI,0.370880088548615,200615,167,198.91
185,W10004_0741 X PHK76,17,17_15,437,2020-06-15,NDVI,0.362026223682708,200615,167,198.91
186,B14A X H95,15,15_13,375,2020-06-15,NDVI,0.41491203794495,200615,167,198.91
187,W10004_0981 X PHP02,8,8_19,548,2020-06-15,NDVI,0.410972174637131,200615,167,198.91
188,W10004_0891 X PHP02,6,6_19,546,2020-06-15,NDVI,0.373555477801757,200615,167,198.91
189,W10004_0119 X PHP02,7,7_23,667,2020-06-15,NDVI,0.374747368805085,200615,167,198.91
190,W10004_0843 X PHP02,6,6_23,666,2020-06-15,NDVI,0.364728173012175,200615,167,198.91
191,W10004_0734 X PHP02,5,5_23,665,2020-06-15,NDVI,0.378548879788889,200615,167,198.91
192,W10004_0383 X PHP02,4,4_23,664,2020-06-15,NDVI,0.365351251282911,200615,167,198.91
193,W10004_0395 X PHP02,3,3_23,663,2020-06-15,NDVI,0.350480582056142,200615,167,198.91
194,W10004_0194 X PHP02,2,2_23,662,2020-06-15,NDVI,0.366443999249432,200615,167,198.91
195,W10004_0833 X PHP02,1,1_23,661,2020-06-15,NDVI,0.350231390619076,200615,167,198.91
196,W10004_0149 X PHP02,30,30_24,691,2020-06-15,NDVI,0.360318229694399,200615,167,198.91
197,W10004_1014 X PHP02,29,29_24,692,2020-06-15,NDVI,0.373378142742135,200615,167,198.91
198,W10004_0837 X PHP02,28,28_24,693,2020-06-15,NDVI,0.368169936769774,200615,167,198.91
199,PHW52 X PHM49,27,27_24,694,2020-06-15,NDVI,0.343568932635467,200615,167,198.91
200,W10004_0122 X PHP02,26,26_24,695,2020-06-15,NDVI,0.384671095135618,200615,167,198.91
