"","PlotID","PlotID_agisoft","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"256",256,277,0.103477617518865,0.0503623190795809,0.208231371042173,0.729777330714177,1.16290975801023,0.547086579518096,"W10004_0913/PHK76",3,13
"257",257,276,0.101044607290493,0.0635577322617674,0.214368943362186,0.705060723330678,1.12674942519757,0.563733180658389,"W10004_0362/PHK76",2,13
"258",258,275,0.103040773871633,0.055293422436525,0.207542062117574,0.697931266165386,1.14226197047007,0.557159165925671,"PB80/TX779",1,13
"259",259,274,0.102829886346508,0.0783074876075318,0.222995825376223,0.703192262530608,1.08876438483998,0.589858226875526,"W10004_0185/PHK76",1,12
"260",260,273,0.113605458082248,0.0408308482255094,0.200228304762047,0.711608824132434,1.18062037484173,0.518163311507953,"W10004_0035/PHK76",2,12
"261",261,272,0.1093421162885,0.0368480436787536,0.202597863858032,0.750341117788486,1.19846861893381,0.521918664803537,"W10004_0161/PHK76",3,12
"262",262,271,0.10543288658863,0.0641004625643022,0.218228827657353,0.733510904182283,1.13036198815926,0.568474440670925,"W10004_0951/PHK76",4,12
"263",263,270,0.115158514182313,0.0342493146244317,0.203444141573901,0.779016512477148,1.21077034706299,0.524119040587935,"W10004_0039/PHK76",5,12
"264",264,269,0.121499329750255,0.0246142428450047,0.198645010564315,0.795238909959061,1.23750134688174,0.503648835300095,"W10004_0200/PHK76",6,12
"265",265,268,0.104194580226751,0.0553538598994533,0.221904255640079,0.807259835384191,1.16520287589037,0.565536183740348,"W10004_0658/PHK76",7,12
"266",266,267,0.0938610838838817,0.0926705355901939,0.242898958168942,0.763988394624232,1.0702217225836,0.618473891884699,"W10004_0166/PHK76",8,12
"267",267,266,0.0889026105632951,0.109700043625224,0.255458618282421,0.77601866746385,1.03693328628021,0.647615547314657,"W10004_0121/PHK76",9,12
"268",268,265,0.092888961291137,0.0961375263652985,0.243308091961767,0.755583825068266,1.06123553019539,0.627919617978017,"W10004_0697/PHK76",10,12
"269",269,264,0.094833977584831,0.0921510941187816,0.240963059697008,0.756534100510575,1.07103163929461,0.629185251035768,"W10004_0885/PHK76",11,12
"270",270,263,0.0992804619069057,0.0681536192012561,0.230483782145573,0.809276948296471,1.13687852384722,0.597813337127355,"W10004_1156/PHK76",12,12
"271",271,262,0.0961803884846689,0.0715979513170506,0.231093742331963,0.798208719988283,1.12310613691526,0.603417578074994,"W10004_0723/PHK76",13,12
"272",272,261,0.0892471760929797,0.0880927599257108,0.240666283313886,0.779642259021752,1.08355371924214,0.628099674826489,"W10004_0018/PHK76",15,12
"273",273,260,0.0938200499420221,0.0828661392193255,0.234047889054184,0.762677586744891,1.09107669533461,0.618282321138501,"W10004_0935/PHK76",16,12
"274",274,259,0.103204949557604,0.0674706470534094,0.226329707203338,0.787895529047078,1.13109843030924,0.588753418354693,"W10004_0412/PHK76",17,12
"275",275,258,0.112796411306403,0.0394128315982145,0.20970943708596,0.803307619153232,1.20009068822744,0.540887741910124,"W10004_0834/PHK76",18,12
"276",276,257,0.103916572391763,0.0746351901116094,0.22695636536858,0.745526249033322,1.10828871722494,0.578766200751241,"W10004_0914/PHK76",19,12
"277",277,256,0.108844556805388,0.0485791562074445,0.207331988642847,0.725389893573075,1.16517477575774,0.539043738265344,"W10004_0847/PHK76",20,12
"278",278,255,0.114479621570721,0.0280488758163882,0.198137911743457,0.772112976063157,1.22414269254662,0.514456512606131,"CG44/CGR01",21,12
"279",279,254,0.113748016087327,0.0374798649869718,0.201791404284233,0.738199899639161,1.19452606339326,0.520923378720496,"W10004_1099/PHK76",22,12
"280",280,253,0.126077843733336,0.0268579654799732,0.201732361386136,0.817995905160317,1.23381649190406,0.508419989917526,"TX779/LH195",23,12
"281",281,281,0.130248282669743,0.027839295115893,0.198254805066563,0.779135665090796,1.22444543167007,0.499308020416868,"W10004_0412/PHK76",7,13
"282",282,282,0.12345640615495,0.0357503788006777,0.205432663627359,0.782890866857124,1.2061557135213,0.521145423881561,"W10004_0308/PHK76",8,13
"283",283,283,0.112974045929055,0.0443514398746641,0.2062863341717,0.741143610336604,1.17914206743465,0.534223510694539,"LH195/TX779",9,13
"284",284,284,0.116152438548535,0.0281922144578065,0.199888395018211,0.783518286992975,1.22593113771936,0.513494784449034,"W10004_1002/PHK76",10,13
"285",285,285,0.111161694809346,0.0564629764872308,0.214460608753445,0.747018845454129,1.15047284344079,0.555577159781794,"W10004_0844/PHK76",11,13
"286",286,286,0.105582795669053,0.0338365911614322,0.203983258871223,0.798002616283985,1.21171420227955,0.543076160093719,"LH82/TX779",12,13
"287",287,287,0.109084233984193,0.0562933415786779,0.217451120722879,0.772834893398356,1.15446473202642,0.568050458689416,"W10004_0152/PHK76",13,13
"288",288,288,0.117156573115937,0.0323119343129585,0.20915218415742,0.83793439591136,1.22392075418501,0.526769796460085,"W10004_1011/PHK76",14,13
"289",289,289,0.102758548748916,0.0491670151207293,0.216722325518289,0.805594060879234,1.1776259852993,0.569503430564045,"W10004_0116/PHK76",15,13
"290",290,290,0.094007457579851,0.0841578650831655,0.237268392603652,0.778957516161564,1.09159798706333,0.617618847432208,"W10004_0646/PHK76",16,13
"291",291,291,0.0997360224222906,0.0738324315308341,0.228423739948755,0.778570717270743,1.11547191012673,0.599931578472483,"W10004_0830/PHK76",17,13
"292",292,292,0.0942402770713879,0.105256932495764,0.247626710872607,0.742227830187836,1.03674924404645,0.645765109481996,"W10004_0133/PHK76",18,13
"293",293,293,0.101827077968722,0.0645996255561294,0.226745385437452,0.78685961146618,1.13799440099357,0.588817628535171,"W10004_0920/PHK76",19,13
"294",294,294,0.106780140792183,0.0594330753947341,0.223413408401526,0.799369339324002,1.15351196876435,0.567833241565002,"W10004_0026/PHK76",20,13
"295",295,295,0.105911928649253,0.0614625703404213,0.22451299501118,0.787295179985059,1.14640711513896,0.566356706038747,"W10004_0951/PHK76",21,13
"296",296,296,0.116634011900924,0.0214915517546697,0.200761194068879,0.83685833583415,1.2530117671996,0.504112769668908,"B73/MO17",22,13
"297",297,297,0.120407216303951,0.0373790570638975,0.203901663574772,0.757196594178355,1.19916111968186,0.520409622961754,"CG44/CGR01",23,13
"298",298,298,0.115796168361474,0.0396967207368139,0.202986764601972,0.73663778377437,1.1900193371015,0.520521745435266,"W10004_0206/PHK76",23,14
"299",299,299,0.108026408366108,0.0450731867034269,0.206565290452597,0.736822075343729,1.17760772027829,0.535953851545242,"W10004_0823/PHK76",22,14
"300",300,300,0.107357709887594,0.0555181716329417,0.212654965611378,0.732792487546019,1.15227832020319,0.547460477695456,"W10004_0938/PHK76",21,14
"301",301,301,0.109691683509684,0.0550761838297656,0.208246405603168,0.690324849853494,1.14430184767467,0.539994327259382,"W10004_0127/PHK76",20,14
"302",302,302,0.113400602835649,0.0400375905762637,0.19847806484833,0.693092302466158,1.18074046548098,0.51874859684254,"W10004_0705/PHK76",19,14
"303",303,303,0.0999820922210739,0.0860055101222803,0.221299281819961,0.648713248678066,1.06095584375232,0.586028381244184,"W10004_0394/PHK76",18,14
"304",304,304,0.100707371729923,0.0736365018622604,0.216848137115039,0.675385810318974,1.09630801610886,0.581513490067118,"W10004_0727/PHK76",17,14
"305",305,305,0.1063964916749,0.0553449705803763,0.207611271230517,0.693361168153667,1.14301072043342,0.551792850447609,"W10004_0299/PHK76",16,14
"306",306,306,0.122005226069553,0.0390398084402845,0.197383278956469,0.694359686638929,1.18382201328498,0.504616507573807,"W10004_0626/PHK76",15,14
"307",307,307,0.119398730681707,0.0512601510052227,0.204406068042307,0.689227786182186,1.15158399313001,0.526168930743374,"W10004_0253/PHK76",14,14
"308",308,308,0.11460020337061,0.04178216454621,0.202780676774009,0.733154897634796,1.183842831531,0.523095414476637,"W10004_0842/PHK76",13,14
"309",309,336,0.126030809511128,0.0260072574074702,0.193250561515076,0.77525167829182,1.2255841741773,0.489124629943149,"W10004_1099/PHK76",16,15
"310",310,335,0.124177762215473,0.033045492801664,0.194006929278839,0.702258345165562,1.20004967933953,0.49343531216645,"W10004_1112/PHK76",15,15
"311",311,334,0.122398150884693,0.0383622105564561,0.200125493740079,0.725961477011178,1.19165150494775,0.509696076576603,"W10004_0856/PHK76",14,15
"312",312,333,0.110584293784204,0.0479810771023094,0.204750569742064,0.71422761915821,1.16485367356248,0.537289431879976,"W10004_0695/PHK76",13,15
"313",313,332,0.110862335874372,0.0529294816030786,0.204222219136641,0.682993082868449,1.14771305552436,0.543092399601773,"TX110/87916",12,15
"314",314,331,0.113003802401035,0.0448422479863815,0.20167876138229,0.699293456320641,1.16942610603381,0.528179260053047,"W10004_0146/PHK76",11,15
"315",315,330,0.120911579710382,0.0363892086301391,0.196867992664956,0.706513738124465,1.19171704821583,0.509799495304598,"W10004_0262/PHK76",10,15
"316",316,329,0.118470249451031,0.0333609317329608,0.199143168761776,0.742835349870651,1.2071814354719,0.506030554465165,"W10004_0620/PHK76",9,15
"317",317,328,0.120989903370611,0.0432199944417274,0.20635611221982,0.749147499362629,1.18235604078085,0.51279890926447,"W10004_0789/PHK76",8,15
"318",318,327,0.118237345934011,0.0329277279340317,0.203168447699043,0.780961881534052,1.21369440821486,0.514413859590848,"W10004_0013/PHK76",7,15
"319",319,326,0.120966473801085,0.0359847361915949,0.205433064524361,0.778596068674879,1.20613816395871,0.519909157594461,"W10004_0223/PHK76",6,15
"320",320,325,0.116954532501045,0.0473262857694898,0.208819884678118,0.741717561552862,1.17121341181891,0.530007609175647,"W10004_0982/PHK76",5,15
"321",321,324,0.108346368033714,0.0533342959868894,0.218562150010949,0.787719633824037,1.16587816169755,0.550764306816487,"W10004_0956/PHK76",4,15
"322",322,323,0.103292330457635,0.079711627254472,0.231316556371908,0.763021136945466,1.09691465210668,0.591370133248606,"W10004_0011/PHK76",3,15
"323",323,322,0.0989279001848944,0.0613597120927646,0.226171041163993,0.811010168935336,1.15063893564923,0.5784405746688,"W10004_0467/PHK76",2,15
"324",324,321,0.109453537460385,0.0467079558733985,0.219702262222528,0.851128220129114,1.19160226184081,0.565778309252976,"F42/H95",1,15
"325",325,320,0.105192220130426,0.0795375742094012,0.232586020625348,0.781061983506087,1.10172706859648,0.59632678665654,"W10004_0395/PHK76",1,14
"326",326,319,0.116921807382811,0.0460615093467351,0.221805812414112,0.885064118544538,1.19924565614965,0.553165172339397,"W10004_0150/PHK76",2,14
"327",327,318,0.104597948624591,0.073651645488345,0.230762704231305,0.795165214318655,1.11617956521529,0.593381842247476,"W10004_0106/PHK76",3,14
"328",328,317,0.111554365237437,0.0542605117713689,0.222493937756246,0.827577447259359,1.1689152208154,0.56102403514869,"W10004_1117/PHK76",4,14
"329",329,316,0.115543793466766,0.0319936959620345,0.209691447081424,0.856115992503354,1.22704041922325,0.530598194093757,"W10004_0138/PHK76",5,14
"330",330,315,0.106404782384585,0.0706503461446576,0.228782140925197,0.78965553484416,1.12229500281426,0.590218512417563,"W10004_0238/PHK76",6,14
"331",331,314,0.103713543617869,0.0767766995565659,0.229031310675465,0.758002271744272,1.10184801734825,0.604389716733067,"W10004_0751/PHK76",7,14
"332",332,313,0.112080378761961,0.0452474307024273,0.214199503002527,0.803122868877808,1.18740569684958,0.542004030893688,"W10004_0042/PHK76",8,14
"333",333,312,0.119303532632111,0.0217597790338451,0.196918381063114,0.799565912842278,1.24534537115968,0.500591619700394,"W10004_0220/PHK76",9,14
"334",334,311,0.126085425930099,0.0218826907423213,0.197340046682369,0.806057154839599,1.24652370768287,0.494738171083006,"W10004_0997/PHK76",10,14
